"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YKL163W",46.7528886652575,2.48716384502881,0.253153093380565,9.82474206345115,8.8099270678994e-23,1.77547292407471e-21
"YOL130W",193.390898360198,1.08436019403377,0.110946554748607,9.77371669170633,1.45995743149454e-22,2.92322220992127e-21
"YNR067C",117.156899672141,1.39315752664455,0.143005189963387,9.74200675514806,1.9957366094053e-22,3.9575712828175e-21
"YPL240C",188.847330694949,1.11399142770697,0.114868954060534,9.69793306483764,3.07668043588359e-22,6.04095118809009e-21
"YIL101C",110.02183304813,1.41493020801773,0.145904531040132,9.69764405485493,3.08540581127601e-22,6.04095118809009e-21
"YBL101C",201.351068492585,1.04939163974937,0.108742489202503,9.65024478881631,4.9038530418215e-22,9.54092414143069e-21
"YBR115C",198.710494436406,1.05021369752807,0.109082754588118,9.62767855921443,6.10940582023398e-22,1.18121543155586e-20
"YGR035C",41.0101227330078,2.81233316796263,0.29304754755482,9.59684935577402,8.24254620584094e-22,1.58868016746224e-20
"YKR039W",161.958506251895,-1.29452220676506,0.135260382981371,-9.57059397756808,1.06293227174104e-21,2.03602537624206e-20
"YOL052C-A",41.2954160384972,2.65485839653775,0.278179297298348,9.54369509996427,1.3783179434084e-21,2.62389326642085e-20
"YPL095C",84.8085866133477,1.62351254621072,0.170516783070499,9.52113051264572,1.71305192885336e-21,3.24643631560666e-20
"YDR343C",64.7001469766311,1.89464676611138,0.199396451189337,9.50190815739406,2.06078896426808e-21,3.8754107361479e-20
"YLR108C",78.2513107298438,-2.06968272082328,0.218148835163955,-9.48748004667438,2.36686670469399e-21,4.43751645513386e-20
"YOR202W",179.595880199347,1.12847669993249,0.119045477229418,9.4793748254522,2.55811059193539e-21,4.78158013060552e-20
"YHR087W",104.70827417936,1.38913907416764,0.148289567052114,9.36774650963439,7.40975986120699e-21,1.35633681246413e-19
"YOR306C",130.324622952773,1.27049767670285,0.135824774055217,9.35394655018061,8.44369222822378e-21,1.54103610076757e-19
"YHR163W",168.413426012171,1.09359468225492,0.117269501867617,9.32548245569812,1.10479806229963e-20,2.00451190951549e-19
"YGR233C",98.613841166937,1.38470233804444,0.153824159290553,9.0018521435825,2.21941322088383e-19,3.95720737683234e-18
"YOR178C",95.6093486740719,1.42977930913638,0.160022688020087,8.93485371872333,4.07717264352768e-19,7.22792754885551e-18
"YPR184W",141.915834722655,1.17351590199728,0.1331433215855,8.81392989165953,1.20833637439802e-18,2.09411124605057e-17
"YMR056C",75.377052649519,-1.85668070888057,0.213484144169245,-8.69704265909621,3.40645403918453e-18,5.74716447340079e-17
"YIL056W",119.772286009814,1.20561165914406,0.139566476305578,8.638261071408,5.70750733594278e-18,9.54387780742648e-17
"YNL221C",106.679298457409,1.29487813451662,0.149912267676247,8.63757285903419,5.74198388030129e-18,9.57564805051862e-17
"YEL065W",107.949416664187,1.24888004118876,0.147257566763579,8.48092270323757,2.23415009913433e-17,3.64714687687179e-16
"YDR111C",119.950514848748,-1.31627074630321,0.155718199076512,-8.45290244884265,2.84149079166421e-17,4.61425289449514e-16
"YGR044C",79.8253964255039,1.42740907612004,0.169841170070528,8.40437613287344,4.30142023839332e-17,6.96672434946059e-16
"YER037W",51.9263890940868,1.80860290985915,0.218014950266583,8.29577470557705,1.07879820123297e-16,1.71141653103292e-15
"YDR216W",129.64016222229,-1.23590952145086,0.149936136946211,-8.24290625744372,1.68077257292304e-16,2.63932484991747e-15
"YBR244W",37.254933587772,2.20602657264285,0.268097803802525,8.22843955211124,1.89667973931069e-16,2.97082469547221e-15
"YHL036W",70.2863384251516,1.4745892045688,0.182463443811565,8.08155964704715,6.39436384097767e-16,9.79255670399228e-15
"YDL037C",21.6825508194183,3.62015012720648,0.451640388909554,8.01555887405689,1.09637333479137e-15,1.66256417214564e-14
"YJR010W",107.458190899529,-1.32686895012617,0.166148513834535,-7.98604164132085,1.39340635409053e-15,2.10268417384344e-14
"YMR081C",72.869140197966,1.45633577115444,0.18465875807826,7.88663254486541,3.10449797880685e-15,4.63949975721691e-14
"YGR211W",92.8718571642886,1.2001357568607,0.155455705013429,7.72011394986774,1.16225753185846e-14,1.71211603562103e-13
"YMR173W",42.5095903421808,1.86910143296771,0.242974149638012,7.69259378313426,1.44181722485235e-14,2.11888911405261e-13
"YIL011W",48.5412191805631,1.75385621608005,0.229072774633946,7.65632764034345,1.9132523854268e-14,2.80504561816009e-13
"YGL162W",69.0667354751619,1.40637111684479,0.183706658019979,7.65552610886773,1.92522428618149e-14,2.81592497839359e-13
"YML035C",130.154251442197,1.01559190696289,0.133080055550255,7.6314358508768,2.32153353463275e-14,3.35591775204973e-13
"YOR108W",95.1916387517773,1.17311221466011,0.154976546203677,7.56961129536566,3.74342631123762e-14,5.38618106689003e-13
"YDL241W",36.023458354829,2.0068216545561,0.266331254535348,7.53505876753847,4.88114947486305e-14,6.94245328758107e-13
"YNL141W",86.849757077867,1.21769229063174,0.162539624497542,7.49166422892874,6.80057192193223e-14,9.56253147295335e-13
"YJL200C",82.3347202613111,1.20605615640409,0.166408512601452,7.24756286532402,4.24337517492158e-13,5.71977390135944e-12
"YDR274C",37.8636304626062,1.84045362385617,0.255766114943572,7.19584619042369,6.20745735142517e-13,8.27705573992835e-12
"YKR053C",74.696997476116,1.26254865183361,0.176472060556255,7.15438267028757,8.40502993060455e-13,1.11115214061219e-11
"YBR070C",53.9675512911328,-1.76040659674957,0.24894674628178,-7.07141837779628,1.53357999260447e-12,2.01022445217031e-11
"YPL093W",96.7398561778705,1.06922114518835,0.15221553430096,7.02438913412274,2.15004816783366e-12,2.78875220427397e-11
"YJL212C",104.983863869633,1.03172140680126,0.14688990543911,7.02377337446745,2.15954989160621e-12,2.79521656472126e-11
"YPL088W",116.344229857127,1.00263458353171,0.143163111212923,7.00344226272446,2.4974886176807e-12,3.20580126091089e-11
"YBR230W-A",91.8818061070418,-1.21964152737577,0.174790770837589,-6.97772268828215,3.00003071530382e-12,3.82704949187314e-11
"YOR348C",38.5373458612356,-2.22908085589242,0.322197495705815,-6.91836803699957,4.56876095987162e-12,5.76876001198484e-11
"YOL105C",120.780629068731,-1.04619293024693,0.15131574351708,-6.91397276932281,4.7126567520295e-12,5.93833143071416e-11
"YHR128W",99.10961189513,1.07225828794772,0.15548951249397,6.89601678434297,5.34808794505851e-12,6.72532929188557e-11
"YNL248C",75.5044947344097,1.20519760623701,0.174926468221848,6.88973840544553,5.58950771309567e-12,7.01466211377747e-11
"YIL047C",87.5570083916855,1.1185300474636,0.164094594395097,6.81637351667097,9.33673539715513e-12,1.15532763804398e-10
"YPL134C",100.057875684691,-1.13237356044757,0.168013749794728,-6.73976720257154,1.58640600591445e-11,1.93591596816424e-10
"YDR525W-A",53.816506478936,-1.64422041592723,0.244832731104557,-6.71568874189891,1.87179967490571e-11,2.26630618173026e-10
"YDR089W",79.704226323699,2.02975288800552,0.304369754669592,6.66870757315856,2.58065865946218e-11,3.08234268843485e-10
"YGR051C",32.7186465734621,-2.46691256333097,0.371097813474542,-6.6476073793957,2.97895650501691e-11,3.55121462361072e-10
"YPR065W",98.6271784973136,-1.11896129478298,0.168591084274559,-6.63713208558938,3.19845019831085e-11,3.80554064941331e-10
"YNL175C",62.8654232295743,1.26452142646501,0.192243421360493,6.57770974692439,4.77749663836762e-11,5.63016603839628e-10
"YNR046W",93.262780517282,1.02074296926733,0.156807636229997,6.5095233485323,7.53896374300889e-11,8.83400921931742e-10
"YPL016W",49.9011242902607,-1.65217762199517,0.255289374104809,-6.47178374653723,9.68526722927669e-11,1.12636745014163e-09
"YBL005W-B",16.2689589269773,2.86885712913525,0.45500804565688,6.30506901255685,2.88065512303925e-10,3.21707820329312e-09
"YGL080W",90.8843872174628,-1.08566936059763,0.1722252809655,-6.30377465207972,2.90482752808654e-10,3.23822845338224e-09
"YER042W",76.9707956500991,-1.20053835979302,0.191257865391789,-6.27706660499287,3.45020310349362e-10,3.83238897689677e-09
"YNL225C",36.4571527956003,-1.94306277870402,0.314824951829195,-6.17188303345856,6.74814168801888e-10,7.33756636621667e-09
"YMR122C",29.146601740754,-2.35276707896847,0.384075967977725,-6.125785717228,9.02371828515969e-10,9.72643641642561e-09
"YMR191W",91.1628941820398,-1.07327211503028,0.175418021757155,-6.11836859337119,9.45381934762997e-10,1.01546493582963e-08
"YDR281C",12.1767721811152,4.14445609545825,0.68216656337015,6.07543130666378,1.23654906343868e-09,1.32133489732213e-08
"YOR120W",71.1913256776946,1.09095602136156,0.180280420030743,6.051439314239,1.43557364631097e-09,1.52609865115567e-08
"YPL230W",82.3289264380056,1.0034186978007,0.16674962981297,6.01751679404717,1.77112945103425e-09,1.86970050942595e-08
"YER079W",96.046184787046,-1.0257128909787,0.170461691837787,-6.01726335061124,1.77390366742045e-09,1.86970050942595e-08
"YDL060W",73.4659774940082,1.05999971184983,0.176836572344778,5.99423353322607,2.04447396345619e-09,2.15121775712644e-08
